product_id,product_name
105075,Кресло-кровать Бонни 132
105076,Кресло-кровать Бонни 133
105121,Шкаф-купе Эконом-3-200-240 Венге 1 зеркало
105122,Шкаф-купе Эконом-3-200-240 Комби 1 зеркало
105139,Шкаф-купе Эконом-3
105162,Стул Оскар-3 Blue Art
105189,Шкаф-купе Винсент-3
105190,Шкаф-купе Винсент-2
105208,Диван Сите-2
105209,Диван Сите-3
105249,Шкаф-купе Пикассо
105252,Кресло Сите
105289,Шкаф-купе Мельбурн
105523,Стенка Витта Дуб Сонома
105527,Диван угловой Порту Textile Blue
105647,Стул Томас Blue
105662,Стул Оден Grey
105664,Стул Оден Wood
105670,ТВ-тумба Олбери-1
105671,Полка Олбери
105672,Витрина Олбери-2
105673,Витрина Олбери-1L
105675,Распашной шкаф Олбери
105679,Витрина Олбери-1R
105730,Кресло Кембридж Barhat Blue
105731,Кресло Кембридж Barhat Crimson
105733,Кресло Кембридж Barhat Mint
105745,Плед София Beige
105748,Плед Аляска Light
105749,Плед Токио Green
105752,Плед Шотландия Brown
105851,Стул Франк Ocean
105873,Журнальный стол Блэквуд Дуб Сакраменто
105879,Кресло Витио Beige
105881,Кресло Витио Ocean
105882,Кресло Витио Sherst Sky
105883,Кресло Витио Velvet Pink
105884,Кресло Витио Velvet Yellow
105885,Кресло Витио
105975,Офисное кресло Chairman Game 16 красный
105976,Офисное кресло Chairman Game 17 серый
105978,Офисное кресло Chairman Kids 103 принцессы
105979,Офисное кресло Chairman Kids 103 машинки
105997,Кресло Кокон Blue
106001,Кресло Кокон Grass
106002,Кресло Кокон Grey
106014,Кухонный стол Хагер-160 Дуб Табак
106151,Диван Мейсон
106152,Диван угловой Мейсон
106259,Комод Сканди Grey
106292,Кресло-мешок Бельвер Grey
106462,Компьютерный стол СПМ-20 Дуб Сонома
106529,Канапе Динс Sherst Sky
106532,Угловое кресло Динс Sherst Sky
106533,Диван Динс-1 Sherst Sky
106535,Кресло Динс-1 Sherst Sky
106589,Кровать Мира 90 Lavanda
106590,Кровать Мира 90 Latte
106594,Кровать Тиволи 90 Mint
106627,Комод Бадди
106630,Распашной шкаф Бадди
106631,Стеллаж Бадди
106632,Тумба прикроватная Бадди
106672,Кресло Лилла Barhat Grey
106683,Кресло Лилла
106697,Кресло Оденс Beige
106699,Кресло Оденс Time Yellow
106701,Кресло Оденс Sherst Grey
106703,Кресло Оденс
106704,Пуф Плиди Beige
106705,Пуф Плиди Velvet Yellow
106706,Пуф Плиди Sherst Blue
106707,Пуф Плиди Sherst Grey
106708,Письменный стол Бадди-2
106710,Пуф Плиди Milano Grey
106711,Пуф Плиди Ocean
106714,Пуф Плиди
106722,Пуф Кофи Velvet Crimson
106724,Пуф Кофи Velvet Yellow
106725,Пуф Кофи Velvet Green
106726,Пуф Кофи Velvet Pink
106727,Пуф Кофи Navy Blue
106728,Пуф Кофи Ocean
106729,Пуф Кофи Grafit
106730,Пуф Кофи Tropical
106731,Пуф Кофи
106752,Пуф Куб Velvet Crimson
106754,Пуф Куб Velvet Yellow
106756,Пуф Куб Grafit
106757,Пуф Куб Ocean
106760,Пуф Куб
106764,Кресло Дублин Velvet Stone
106766,Диван Дублин-3 Dusty Blue
106769,Диван Дублин-3 Velvet Stone
106827,ТВ-тумба Сканди-1 Blue
106831,ТВ-тумба Сканди-2 Grey
106908,Диван Мисл Grafit
106909,Диван Мисл Ocean
106914,Диван Мисл
106923,Полка Бакстон-1
106924,Витрина Бакстон-2
106925,Комод Бакстон
107028,Стул Тор Grey
107032,Стул Рагнар Blue
107063,Журнальный стол Бакстон
107064,ТВ-тумба Бакстон-1
107065,ТВ-тумба Бакстон-2
107066,Витрина Бакстон-1
107067,Распашной шкаф Бакстон
107205,ТВ-тумба Холли-1
107206,Комод Холли
107207,Полка Холли-1
107210,ТВ-тумба Холли-2
107211,Полка Холли-2
107212,Распашной шкаф Холли
107220,Диван Дублин Dusty Blue
107222,Диван Дублин Velvet Marsala
107223,Диван Дублин Velvet Stone
107225,Диван Дублин
107236,Кресло Монти 155
107237,Кресло Монти 156
107238,Кресло Монти 157
107239,Кресло Монти 158
107241,Кресло Монти 160
107370,Диван Мона
